WKT,fid,gid,streetname,note
"LINESTRING (652410.044098445 6863175.0483198,652403.867350929 6863160.94526395)","1482","1494",Rue Saint Denis,c
"LINESTRING (652403.867350929 6863160.94526395,652391.525280634 6863129.35987357)","1484","1496",Rue Saint Denis,c
"LINESTRING (652671.076470966 6863269.35121255,652596.203303611 6863094.64978778)","1485","1497",Rue Saint Martin,c
"LINESTRING (652220.333955233 6863011.65241773,652338.979811193 6862981.50209061)","1486","1498",Rue du Renard,c
"LINESTRING (652218.746179277 6863007.93014172,652220.333955233 6863011.65241773)","1487","1499",Rue des Deux Portes,c
"LINESTRING (652220.333955233 6863011.65241773,652241.68817827 6863078.68230378)","1488","1500",Rue des Deux Portes,c
"LINESTRING (652427.641334439 6863027.09414081,652466.649572229 6863020.3270673)","1500","1512",Rue St Louis,
"LINESTRING (652427.641334439 6863027.09414081,652427.72549339 6863037.11012618)","1501","1513",Rue S Guillaume,
"LINESTRING (652828.507855586 6862985.01393376,652798.475780081 6862997.42543663)","1543","1555",marché Saint Martin,
"LINESTRING (652798.475780081 6862997.42543663,652781.424248115 6863005.14238932)","1544","1556",marché Saint Martin,
"LINESTRING (652781.424248115 6863005.14238932,652769.895621737 6863010.56253835)","1545","1557",marché Saint Martin,
"LINESTRING (652781.424248115 6863005.14238932,652769.197781131 6862974.19329082,652785.656193332 6862967.9960521,652798.475780081 6862997.42543663)","1546","1558",Marché Saint Martin,
"LINESTRING (652781.424248115 6863005.14238932,652795.052071617 6863040.62389291,652811.955965285 6863033.36259481,652798.475780081 6862997.42543663)","1550","1562",Marché Saint Martin,
"LINESTRING (652805.806090488 6862919.47833899,652817.202701674 6862936.08649144,652828.507855586 6862985.01393376)","1552","1564",Rue Frepillon,c
"LINESTRING (652828.507855586 6862985.01393376,652838.879260643 6863009.25643148)","1553","1565",Rue Frepillon,c
"LINESTRING (652097.038474885 6863046.30866459,652218.746179277 6863007.93014172)","1616","1643",rue Beaurepaire,
"LINESTRING (652367.002751224 6863075.31721041,652406.880675423 6863059.75128555,652435.394373271 6863064.23385806)","1626","1653",,
"LINESTRING (652433.321443531 6863055.95172872,652435.394373271 6863064.23385806)","1627","1654",Rue S Guillaume,
"LINESTRING (652435.394373271 6863064.23385806,652437.615197977 6863073.08712785)","1628","1655",Rue S Guillaume,
"LINESTRING (652085.633844664 6862985.70072202,652206.883674636 6862966.93804296)","1629","1656",rue Tireboudin,
"LINESTRING (652383.656672075 6863112.57965207,652367.002751224 6863075.31721041)","1630","1657",Rue Saint Denis,c
"LINESTRING (652367.002751224 6863075.31721041,652358.095770946 6863047.59625035)","1632","1659",Rue Saint Denis,c
"LINESTRING (652412.358820044 6863047.5421277,652405.683129123 6863019.40838402,652419.689878045 6863017.43045187,652427.161582585 6863021.08815679)","1638","1665",,
"LINESTRING (652426.832129884 6863015.93948372,652427.161582585 6863021.08815679)","1639","1666",Rue S Guillaume,
"LINESTRING (652427.161582585 6863021.08815679,652427.641334439 6863027.09414081)","1640","1667",Rue S Guillaume,
"LINESTRING (652198.70538578 6862934.90109286,652322.509695218 6862888.32260899)","1646","1673",Rue du Petit Lion,c
"LINESTRING (652889.179011195 6862729.22417052,652870.016840276 6862695.97741455)","1649","1676",rue du Temple,
"LINESTRING (652198.70538578 6862934.90109286,652206.883674636 6862966.93804296)","1673","1700",Rue des Deux Portes,c
"LINESTRING (652206.883674636 6862966.93804296,652218.746179277 6863007.93014172)","1687","1714",Rue des Deux Portes,c
"LINESTRING (652600.529158983 6862982.73009011,652610.552380209 6863003.85200821,652623.394813971 6862999.95726673,652615.028760466 6862977.76111598)","1707","1734",Cloître Saint Nicolas,c
"LINESTRING (652600.529158983 6862982.73009011,652615.028760466 6862977.76111598)","1708","1735",Rue Aumaire,c
"LINESTRING (652615.028760466 6862977.76111598,652703.291903891 6862949.39033515)","1712","1739",Rue Aumaire,c
"LINESTRING (652759.957505278 6863064.24565519,652736.990035133 6863070.95202191,652735.742694659 6863066.72127257,652756.114942588 6863057.61315798,652759.957505278 6863064.24565519)","1726","1753",place Saint Vannes,
"LINESTRING (652196.07326925 6863293.58569032,652207.118571053 6863270.12920606)","1739","1766",Marché à la Marée,c
"LINESTRING (652870.016840276 6862695.97741455,652855.330952135 6862676.85505021)","1757","1784",rue du Temple,
"LINESTRING (653248.043335578 6863342.83918596,653274.051048037 6863363.56648555)","1973","2001",Rue Samson,c
"LINESTRING (653248.043335578 6863342.83918596,653381.31904685 6863279.82590475)","1976","2004",Rue de Bondy,c
"LINESTRING (653038.785916597 6863366.9411069,653104.189821085 6863506.03134756)","1980","2008",Rue de Lancry,c
"LINESTRING (653104.189821085 6863506.03134756,653274.051048037 6863363.56648555)","1987","2015",Rue Neuve Saint Nicolas,c
"LINESTRING (652726.737584128 6863418.36346291,652808.119200548 6863438.86446463,652815.963658531 6863447.9787099,652908.759890948 6863430.87227365,653038.785916597 6863366.9411069)","1988","2016",Rue de Bondy,c
"LINESTRING (653038.785916597 6863366.9411069,653127.885080064 6863334.77296313,653248.043335578 6863342.83918596)","1990","2018",Rue de Bondy,c
"LINESTRING (652688.139257796 6863004.35023591,652699.725012769 6863000.25843664)","2140","2169",rue Bailly,
"LINESTRING (652699.725012769 6863000.25843664,652720.000845066 6862993.18856151)","2143","2172",rue Bailly,
"LINESTRING (652720.000845066 6862993.18856151,652738.818155848 6862985.40468333)","2144","2173",rue Bailly,
"LINESTRING (652738.818155848 6862985.40468333,652753.305685977 6862980.92536045)","2145","2174",rue Bailly,
