WKT,fid,gid,streetname,note
"LINESTRING (652300.676330338 6862703.98071845,652254.715982673 6862717.18127279,652237.368757024 6862718.91633166)","1336","1336",,
"LINESTRING (652251.447189507 6862808.50968158,652241.811611144 6862777.96715733)","1343","1343",,
"LINESTRING (652318.902063724 6862758.0086149,652247.643754746 6862776.21959022,652241.811611144 6862777.96715733)","1346","1346",,
"LINESTRING (652252.414425061 6863243.81657514,652251.38987722 6863226.40475395)","1367","1367",,
"LINESTRING (652254.83339883 6863274.30610955,652252.414425061 6863243.81657514)","1370","1370",,
"LINESTRING (652259.326121016 6862836.48985822,652251.447189507 6862808.50968158)","1371","1371",,
"LINESTRING (652259.736558115 6862575.79921415,652251.534741929 6862545.90757066)","1374","1374",,
"LINESTRING (652441.980260103 6863226.7361747,652254.83339883 6863274.30610955)","1378","1378",,
"LINESTRING (652282.056686511 6863155.4814043,652259.375483362 6863079.24166546,652255.758754718 6863070.18667383)","1380","1380",,
"LINESTRING (652369.914269412 6863040.25623028,652255.758754718 6863070.18667383)","1381","1381",,
"LINESTRING (652333.932462947 6862807.64093006,652259.326121016 6862836.48985822)","1388","1388",,
"LINESTRING (652275.276154758 6862621.44861937,652271.433668902 6862613.08227732,652259.736558115 6862575.79921415)","1394","1394",,
"LINESTRING (652259.736558115 6862575.79921415,652309.812714514 6862557.76261755)","1395","1395",,
"LINESTRING (652286.560169614 6862657.81286028,652283.776467403 6862650.72589194,652275.276154758 6862621.44861937)","1431","1431",,
"LINESTRING (652411.311103715 6863125.23285428,652282.056686511 6863155.4814043)","1441","1441",,
"LINESTRING (652285.75525766 6863410.95545854,652422.863048487 6863476.19789626)","1443","1443",,
"LINESTRING (652285.75525766 6863410.95545854,652306.63078231 6863359.66640813)","1445","1445",,
"LINESTRING (652295.333809369 6862685.98491855,652286.560169614 6862657.81286028)","1451","1451",,
"LINESTRING (652300.676330338 6862703.98071845,652295.333809369 6862685.98491855)","1473","1473",,
"LINESTRING (652357.294499043 6862669.11506675,652295.333809369 6862685.98491855)","1474","1474",,
"LINESTRING (652318.902063724 6862758.0086149,652315.012917896 6862750.51004947,652300.676330338 6862703.98071845)","1484","1484",,
"LINESTRING (652438.075525902 6863427.17052873,652317.627216847 6863364.52286283,652306.63078231 6863359.66640813)","1494","1494",,
"LINESTRING (652306.63078231 6863359.66640813,652311.145785334 6863346.00352411,652317.307518866 6863331.75345925)","1495","1495",,
"LINESTRING (652355.056319423 6863350.23723323,652317.307518866 6863331.75345925)","1507","1507",,
"LINESTRING (652344.826785717 6863313.05389966,652320.729645781 6863319.19944393,652317.307518866 6863331.75345925)","1508","1508",,
"LINESTRING (652330.646769946 6862796.79115019,652318.902063724 6862758.0086149)","1512","1512",,
"LINESTRING (652330.646769946 6862796.79115019,652333.932462947 6862807.64093006)","1529","1529",,
"LINESTRING (652386.620408892 6862777.3209562,652330.646769946 6862796.79115019)","1530","1530",,
"LINESTRING (652340.100714279 6862857.40316136,652334.691466114 6862823.48652325,652333.932462947 6862807.64093006)","1534","1534",,
"LINESTRING (652344.864396765 6862890.03804248,652340.100714279 6862857.40316136)","1547","1547",,
"LINESTRING (652383.669251863 6862850.97342773,652340.100714279 6862857.40316136)","1548","1548",,
"LINESTRING (652351.010864616 6863331.02359758,652344.826785717 6863313.05389966)","1553","1553",,
"LINESTRING (652457.081403348 6863283.32815699,652344.826785717 6863313.05389966)","1554","1554",,
"LINESTRING (652344.864396765 6862890.03804248,652346.240479402 6862898.76800199)","1555","1555",,
"LINESTRING (652357.120756255 6862971.92687252,652346.240479402 6862898.76800199)","1556","1556",,
"LINESTRING (652415.430416649 6862886.72012533,652346.240479402 6862898.76800199)","1558","1558",,
"LINESTRING (652357.294499043 6862669.11506675,652347.787156157 6862640.82255604)","1562","1562",,
"LINESTRING (652355.056319423 6863350.23723323,652351.010864616 6863331.02359758)","1571","1571",,
"LINESTRING (652407.657782794 6863316.43013549,652351.010864616 6863331.02359758)","1572","1572",,
"LINESTRING (652449.025347592 6863398.55377875,652355.056319423 6863350.23723323)","1579","1579",,
"LINESTRING (652429.276167282 6862984.04233081,652357.120756255 6862971.92687252)","1585","1585",,
"LINESTRING (652363.589458584 6863013.43208414,652360.828747001 6862999.88456113,652359.628693355 6862985.15791444,652357.120756255 6862971.92687252)","1588","1588",,
"LINESTRING (652357.294499043 6862669.11506675,652365.528746506 6862691.54658347)","1589","1589",,
"LINESTRING (652369.914269412 6863040.25623028,652365.729158389 6863024.69618471,652363.589458584 6863013.43208414)","1592","1592",,
"LINESTRING (652435.060573254 6863010.77237234,652425.894567829 6863011.32921082,652423.320988612 6863006.29804107,652405.669534393 6863004.70936059,652363.589458584 6863013.43208414)","1593","1593",,
"LINESTRING (652365.528746506 6862691.54658347,652372.007614465 6862709.19613906,652373.423188069 6862715.91921253,652371.793106626 6862730.7532739,652386.620408892 6862777.3209562)","1596","1596",,
"LINESTRING (652387.562903968 6862684.07204596,652365.528746506 6862691.54658347)","1597","1597",,
"LINESTRING (652367.520497161 6862550.7437662,652409.259266909 6862676.97264155)","1604","1604",,
"LINESTRING (652369.914269412 6863040.25623028,652381.12967612 6863065.00575496)","1608","1608",,
"LINESTRING (652381.12967612 6863065.00575496,652398.021610464 6863096.57333947)","1619","1619",,
"LINESTRING (652446.786307926 6863061.68513363,652430.339465368 6863063.97366793,652429.844747947 6863054.06329186,652381.12967612 6863065.00575496)","1620","1620",,
"LINESTRING (652400.988879959 6862772.2947069,652386.620408892 6862777.3209562)","1628","1628",,
"LINESTRING (652391.127131879 6862697.34601849,652387.562903968 6862684.07204596)","1631","1631",,
"LINESTRING (652409.259266909 6862676.97264155,652387.562903968 6862684.07204596)","1632","1632",,
"LINESTRING (652411.311103715 6863125.23285428,652398.021610464 6863096.57333947)","1645","1645",,
"LINESTRING (652483.737139978 6863077.36126269,652398.021610464 6863096.57333947)","1646","1646",,
