WKT,fid,gid,streetname,note
"LINESTRING (2.35066998075617 48.863350211288,2.35089204049594 48.8633138800117)","827","826",Rue aux Ours,
"LINESTRING (2.35262875458344 48.8637524727481,2.35276708781907 48.8640491388173,2.35293029176484 48.8643291829591)","830","829",Rue Saint-Martin,
"LINESTRING (2.34867101023287 48.8680900550514,2.34906171558401 48.8681890845218)","940","940",Passage Sainte-Foy,
"LINESTRING (2.34906171558401 48.8681890845218,2.34967589324651 48.8683447526661)","942","942",Passage Sainte-Foy,
"LINESTRING (2.35125004591821 48.8645041190959,2.35130227437351 48.8647163607509)","949","949",Rue Bourg l'Abbé,
"LINESTRING (2.35130227437351 48.8647163607509,2.35142712533783 48.8652237124559)","950","950",Rue Bourg l'Abbé,
"LINESTRING (2.34969786658706 48.8631107985942,2.34986370154029 48.8635230120269)","951","951",Rue Saint-Denis,
"LINESTRING (2.34986370154029 48.8635230120269,2.34988198357563 48.8635684549827,2.34990094607774 48.863610608729)","952","952",Rue Saint-Denis,
"LINESTRING (2.35089204049594 48.8633138800117,2.35150906545729 48.8631283901154)","957","957",Rue aux Ours,
"LINESTRING (2.3511241504293 48.8640801449703,2.35115945491028 48.8642094117376)","963","963",Rue Bourg l'Abbé,
"LINESTRING (2.35115945491028 48.8642094117376,2.35117726671157 48.8642746290973)","964","964",Rue Bourg l'Abbé,
"LINESTRING (2.35117726671157 48.8642746290973,2.35123126316431 48.8644448928466)","972","972",Rue Bourg l'Abbé,
"LINESTRING (2.35123126316431 48.8644448928466,2.35125004591821 48.8645041190959)","973","973",Rue Bourg l'Abbé,
"LINESTRING (2.35068769932164 48.8659409078307,2.35084960905691 48.8662445343773,2.35088556129253 48.8662975972893,2.35097727393797 48.8664329580029)","974","974",Rue Saint-Denis,
"LINESTRING (2.3512138627212 48.8668408603067,2.35126782004547 48.8669573421571)","982","982",Rue Saint-Denis,
"LINESTRING (2.35097727393797 48.8664329580029,2.35115027639929 48.8667203120061)","983","983",Rue Saint-Denis,
"LINESTRING (2.35115027639929 48.8667203120061,2.35118386500769 48.8667761016806,2.3512138627212 48.8668408603067)","984","984",Rue Saint-Denis,
"LINESTRING (2.36273241603818 48.8638232460425,2.36326559051261 48.863577489501)","989","989",Rue du Forez,
"LINESTRING (2.36221525945386 48.8651979252689,2.36248714738504 48.8650607282248)","1029","1029",Rue du Petit Thouars,
"LINESTRING (2.36248714738504 48.8650607282248,2.36291589516021 48.8648443755644)","1032","1032",Rue du Petit Thouars,
"LINESTRING (2.35293029176484 48.8643291829591,2.35318199572076 48.864799491181)","1144","1144",Rue Saint-Martin,
"LINESTRING (2.35679352875458 48.8619143095588,2.35727074646916 48.8623472925172)","1205","1204",Rue du Temple,
"LINESTRING (2.36248714738504 48.8650607282248,2.36295967667418 48.8652071566275)","1225","1224",Rue Dupuis,
"LINESTRING (2.35150906545729 48.8631283901154,2.35221255395003 48.8629402923609)","1266","1264",Rue aux Ours,
"LINESTRING (2.35318199572076 48.864799491181,2.35339045256444 48.8652224789348)","1282","1280",Rue Saint-Martin,
"LINESTRING (2.36294300016232 48.8686106908126,2.36376290510357 48.8689846989623)","1338","1336",Rue Sanson,
"LINESTRING (2.36265491388468 48.8684094531546,2.3627219832759 48.8684752340862,2.36294300016232 48.8686106908126)","1350","1348",Place Sanson,
"LINESTRING (2.36295967667418 48.8652071566275,2.36397925408995 48.8655683659069)","1356","1354",Rue Dupuis,
"LINESTRING (2.35011838035375 48.8623852381518,2.35025412658977 48.8625476616211)","1421","1421",Rue Salle au Comte,
"LINESTRING (2.35339045256444 48.8652224789348,2.35355371967574 48.8656723773173,2.35358915577821 48.8658561658726)","1431","1431",Rue Saint-Martin,
"LINESTRING (2.35778064607091 48.862807374306,2.35791517586667 48.8629594392483,2.35821717138004 48.8633814883139)","1444","1444",Rue du Temple,
"LINESTRING (2.35968786556169 48.8683530671408,2.35975559268975 48.8685796051617)","1445","1445",Rue de Lancry,
"LINESTRING (2.35975559268975 48.8685796051617,2.3603067862543 48.8694054979424,2.36063635853216 48.8698785974384)","1456","1456",Rue de Lancry,
"LINESTRING (2.36276440461894 48.8655493311411,2.36295967667418 48.8652071566275)","1473","1472",Rue de la Grande Corderie,
"LINESTRING (2.36247449833174 48.86887083706,2.36294300016232 48.8686106908126)","1514","1513",Rue Neuve Saint-Nicolas,
"LINESTRING (2.35821717138004 48.8633814883139,2.35855217884359 48.8637596011509,2.35897645281995 48.8641502742096)","1560","1559",Rue du Temple,
"LINESTRING (2.35548883021086 48.8690601107768,2.3561586120711 48.8688775697822,2.35800648740458 48.8685875546516,2.35968786556169 48.8683530671408)","1561","1560",Boulevard Saint-Martin,
"LINESTRING (2.35358915577821 48.8658561658726,2.35369789838188 48.8660399357354)","1564","1563",Rue Saint-Martin,
"LINESTRING (2.35968786556169 48.8683530671408,2.36087158476961 48.8681765977689,2.3624083956439 48.8679493423929,2.36378785229455 48.8677414159655,2.36395682037715 48.8676548455989)","1570","1569",Boulevard Saint-Martin,
"LINESTRING (2.35025412658977 48.8625476616211,2.35043204664675 48.8628134449989,2.35066998075617 48.863350211288)","1582","1581",Rue Salle au Comte,
"LINESTRING (2.36295967667418 48.8652071566275,2.36312815829955 48.8649119228348)","1585","1584",Rue de la Grande Corderie,
"LINESTRING (2.35956614789781 48.8646936697689,2.36026365970241 48.8641949409873,2.36073918371869 48.8638713526509,2.36099248471089 48.8636896380588)","1617","1616",Rue de la Croderie,
"LINESTRING (2.35897645281995 48.8641502742096,2.35907380067027 48.864239911415,2.35956614789781 48.8646936697689)","1674","1673",Rue du Temple,
"LINESTRING (2.35369789838188 48.8660399357354,2.35376810036336 48.8661585729911)","1692","1690",Rue Saint-Martin,
"LINESTRING (2.36221525945386 48.8651979252689,2.36234713357394 48.8652971486753,2.36246422651661 48.8652983299133,2.36276440461894 48.8655493311411)","1703","1701",Place de la Corderie,
"LINESTRING (2.35956614789781 48.8646936697689,2.36007681860281 48.8651884622957,2.36018326839428 48.8652964191793)","1794","1794",Rue du Temple,
"LINESTRING (2.35376810036336 48.8661585729911,2.35403749528005 48.8665864129964)","1810","1810",Rue Saint-Martin,
"LINESTRING (2.36074590262114 48.8658535970931,2.3612550678309 48.8656824350497)","1820","1820",Rue du Petit Thouars,
"LINESTRING (2.35403749528005 48.8665864129964,2.35446222331341 48.8672009400206,2.35456877607331 48.8674355942702)","1831","1831",Rue Saint-Martin,
"LINESTRING (2.35456877607331 48.8674355942702,2.3546353094943 48.8675821153734,2.35471986754927 48.8677378854776)","1841","1841",Rue Saint-Martin,
"LINESTRING (2.36018326839428 48.8652964191793,2.3603434355154 48.8654588528403)","1910","1910",Rue du Temple,
"LINESTRING (2.3612550678309 48.8656824350497,2.36221525945386 48.8651979252689)","1937","1937",Rue du Petit Thouars,
"LINESTRING (2.35471986754927 48.8677378854776,2.35484574324978 48.8679697677306)","1965","1965",Rue Saint-Martin,
"LINESTRING (2.34946141054295 48.8625299468027,2.35011838035375 48.8623852381518)","1970","1970",,
"LINESTRING (2.35176317584001 48.8681845744666,2.35349762111213 48.8678726350208)","1984","1984",Rue Tracy,
"LINESTRING (2.35158292648501 48.8676825010218,2.35209200502396 48.8676165550154,2.35259246288042 48.8675479015366,2.35306951521744 48.8674586081023)","1998","1998",Passage du Ponceau,
"LINESTRING (2.35365568505834 48.8681809890691,2.35372463201678 48.8683738589226)","2011","2011",,
"LINESTRING (2.34758266628333 48.8647196625274,2.3482533645457 48.8646674572875)","2024","2024",Rue Pavée,
"LINESTRING (2.35372463201678 48.8683738589226,2.35388313260802 48.8687009430082)","2028","2028",,
"LINESTRING (2.34673046791513 48.8651016447063,2.34705727485651 48.8650692041704,2.34837304657808 48.8649577521537)","2035","2035",Rue Marie Stuart,
"LINESTRING (2.35365568505834 48.8681809890691,2.35484574324978 48.8679697677306)","2036","2036",Rue du Ponceau,
"LINESTRING (2.34687429178068 48.8656662277842,2.34853973735391 48.865311458714)","2038","2038",Rue Beaurepaire,
"LINESTRING (2.34702387021487 48.8663286946002,2.34817678657372 48.8661133600974,2.34881758118441 48.8659892824126)","2039","2039",Rue Saint-Sauveur,
"LINESTRING (2.34881758118441 48.8659892824126,2.35007139600408 48.8657566211881,2.35054130572588 48.8656663750452)","2040","2040",Rue Saint-Sauveur,
"LINESTRING (2.3512138627212 48.8668408603067,2.35202405121423 48.8667562992535,2.35306951521744 48.8674586081023)","2045","2045",Rue du Ponceau,
"LINESTRING (2.36018326839428 48.8652964191793,2.36057338166332 48.865108632608)","2061","2061",Rue Perrée,
"LINESTRING (2.35306951521744 48.8674586081023,2.35323317858573 48.8675685491891,2.35336890124522 48.867724618932)","2062","2062",Rue du Ponceau,
"LINESTRING (2.35336890124522 48.867724618932,2.35349762111213 48.8678726350208)","2063","2063",Rue du Ponceau,
"LINESTRING (2.34753217400996 48.868442918385,2.34816879246382 48.8686119697318,2.34936514121452 48.8689585255127)","2074","2074",Rue Cléry,
"LINESTRING (2.35349762111213 48.8678726350208,2.35365568505834 48.8681809890691)","2077","2077",Rue du Ponceau,
"LINESTRING (2.35005583502479 48.8681729529967,2.35018338254333 48.8683130186376)","2083","2083",Rue Saint-Spire,
"LINESTRING (2.34856965121835 48.8653519718217,2.34889646067355 48.8653283338653,2.35030192211015 48.8651153840763)","2088","2088",Rue du Renard,
"LINESTRING (2.34837304657808 48.8649577521537,2.34860799909523 48.8649112235637,2.35016723297052 48.8646588008644)","2089","2089",Passage du Grand Cerf,
"LINESTRING (2.3482533645457 48.8646674572875,2.34918034986851 48.8644771145916,2.35011160118874 48.8642909916544)","2090","2090",Rue du Petit Lion,
"LINESTRING (2.34726285468027 48.8676467133741,2.34824980964432 48.8679002882231)","2091","2091",Rue Neuve Saint-Sauveur,
"LINESTRING (2.35484574324978 48.8679697677306,2.35512476331549 48.868421925103)","2092","2092",Rue Saint-Martin,
"LINESTRING (2.3482533645457 48.8646674572875,2.34837304657808 48.8649577521537)","2099","2099",Rue des Deux Portes,
"LINESTRING (2.34837304657808 48.8649577521537,2.34853973735391 48.865311458714)","2100","2100",Rue des Deux Portes,
"LINESTRING (2.35115027639929 48.8667203120061,2.35291525727384 48.8663414668195,2.35376810036336 48.8661585729911)","2102","2102",Rue Guérin Boisseau,
"LINESTRING (2.34853973735391 48.865311458714,2.34856965121835 48.8653519718217)","2103","2103",Rue des Deux Portes,
"LINESTRING (2.34856965121835 48.8653519718217,2.34881758118441 48.8659892824126)","2105","2105",Rue des Deux Portes,
"LINESTRING (2.34881758118441 48.8659892824126,2.34919799232088 48.8667784258681)","2106","2106",Rue des Deux Portes,
"LINESTRING (2.34841636596564 48.8676170117915,2.34886602705344 48.8676296501289,2.34883615726063 48.8677846712059,2.34871231657225 48.8680270755701)","2107","2107",Rue des Forges,
"LINESTRING (2.34834582404925 48.8673971749246,2.34841636596564 48.8676170117915)","2109","2109",Rue de Damiette,
"LINESTRING (2.34841636596564 48.8676170117915,2.34833629777996 48.8677833116854,2.34824980964432 48.8679002882231)","2111","2111",Rue de Damiette,
"LINESTRING (2.34824980964432 48.8679002882231,2.34815160010643 48.8681440987567)","2112","2112",Rue de Damiette,
"LINESTRING (2.34763928988556 48.8670600252109,2.34792497932661 48.8672746099637,2.34836072898714 48.8671829667333)","2113","2113",Impasse de l'Étoile,
"LINESTRING (2.34763928988556 48.8670600252109,2.34919799232088 48.8667784258681)","2117","2117",Rue Thévenot,
"LINESTRING (2.34919799232088 48.8667784258681,2.35097727393797 48.8664329580029)","2118","2118",Rue Thévenot,
"LINESTRING (2.34871231657225 48.8680270755701,2.3490358906147 48.867953349744)","2119","2119",Rue du Caire,
"LINESTRING (2.3490358906147 48.867953349744,2.34974742572785 48.867791223618)","2121","2121",Rue du Caire,
"LINESTRING (2.34974742572785 48.867791223618,2.35116282707768 48.8674687024278)","2122","2122",Rue du Caire,
"LINESTRING (2.35116282707768 48.8674687024278,2.3514720559979 48.8673982369219)","2123","2123",Rue du Caire,
"LINESTRING (2.34967589324651 48.8683447526661,2.34982321015556 48.8683820906426)","2125","2125",Passage Sainte-Foy,
"LINESTRING (2.34871231657225 48.8680270755701,2.34867101023287 48.8680900550514)","2127","2127",,
"LINESTRING (2.34867101023287 48.8680900550514,2.34855646587802 48.8682646991005)","2128","2128",,
"LINESTRING (2.34871231657225 48.8680270755701,2.34815160010643 48.8681440987567)","2130","2130",,
"LINESTRING (2.34967589324651 48.8683447526661,2.34987866389738 48.8680410448288,2.3498530188613 48.8679973607663)","2131","2131",Passage du Caire,
"LINESTRING (2.34906171558401 48.8681890845218,2.34914385347834 48.8681623198106)","2133","2133",Passage du Caire,
"LINESTRING (2.34914385347834 48.8681623198106,2.3498530188613 48.8679973607663)","2134","2134",Passage du Caire,
"LINESTRING (2.3498530188613 48.8679973607663,2.35125424793627 48.8676730685895)","2135","2135",Passage du Caire,
"LINESTRING (2.35125424793627 48.8676730685895,2.35155969722806 48.8676053864204)","2136","2136",Passage du Caire,
"LINESTRING (2.35116282707768 48.8674687024278,2.35125424793627 48.8676730685895)","2138","2138",Passage du Caire,
"LINESTRING (2.34974742572785 48.867791223618,2.3498530188613 48.8679973607663)","2140","2140",Passage du Caire,
"LINESTRING (2.3490358906147 48.867953349744,2.34914385347834 48.8681623198106)","2141","2141",Passage du Caire,
"LINESTRING (2.3603434355154 48.8654588528403,2.36043463136545 48.8655513386251)","2155","2155",Rue du Temple,
"LINESTRING (2.34893840883884 48.8614533941437,2.34911117907041 48.8617481058217,2.3491900606782 48.861924199812)","2173","2242",Rue Saint-Denis,
"LINESTRING (2.35512476331549 48.868421925103,2.35561536327244 48.8683178647527)","2176","2175",Impasse de la Planchette,
"LINESTRING (2.35210267630488 48.868937767472,2.35230396055964 48.8689361667475,2.35388313260802 48.8687009430082)","2177","2176",Rue Neuve Saint-Denis,
"LINESTRING (2.35388313260802 48.8687009430082,2.35515055863678 48.8684637264667)","2178","2177",Rue Neuve Saint-Denis,
"LINESTRING (2.35200352050556 48.8687384556098,2.35243243050031 48.8686798780531,2.35273866941028 48.8686192248919,2.35272253932293 48.8685830725744,2.35300620997465 48.8685192316527,2.35361062640026 48.8684043027964,2.35372463201678 48.8683738589226)","2179","2178",Passage Lemoine,
"LINESTRING (2.35365568505834 48.8681809890691,2.35316651356791 48.8682751664606,2.35233645214969 48.8684454181783,2.35189798652175 48.8685263212315)","2181","2180",Cour Saint-Chaumont,
"LINESTRING (2.35018338254333 48.8683130186376,2.35119513025634 48.8680404203508)","2182","2181",Impasse de la Grosse Tête,
"LINESTRING (2.35528181876617 48.8686951443642,2.35853433225504 48.8680132341709,2.36038458592773 48.8676619625298,2.36281824764858 48.8672105750736)","2183","2182",Rue Meslsay,
"LINESTRING (2.36057338166332 48.865108632608,2.36158251142065 48.8646228613176)","2184","2183",Rue Perrée,
"LINESTRING (2.35471986754927 48.8677378854776,2.35548131310697 48.8675969228439,2.35664173911213 48.8673287627321)","2186","2185",Rue du Vertbois,
"LINESTRING (2.35664173911213 48.8673287627321,2.35757205298209 48.8671242562299)","2187","2186",Rue du Vertbois,
"LINESTRING (2.35757205298209 48.8671242562299,2.35812288188543 48.8670009839886)","2188","2187",Rue du Vertbois,
"LINESTRING (2.35834767212939 48.8674537367846,2.36015971443109 48.8671805406325,2.3621487570312 48.866914313176)","2192","2191",Rue Notre-Dame de Nazareth,
"LINESTRING (2.35484574324978 48.8679697677306,2.35652421029361 48.8677337642102,2.35834767212939 48.8674537367846)","2193","2192",Rue Saint-Martin,
"LINESTRING (2.35339045256444 48.8652224789348,2.35391867136574 48.8651639740615,2.35441987158019 48.8650508778348,2.35519716948798 48.8648789329446)","2197","2196",Rue Aumaire,
