WKT,fid,gid,streetname,note
"LINESTRING (2.3621487570312 48.866914313176,2.36281824764858 48.8672105750736)","2632","2631",Rue du Temple,
"LINESTRING (2.36291589516021 48.8648443755644,2.36285070838729 48.8643832942402)","2648","2648",,
"LINESTRING (2.36312815829955 48.8649119228348,2.36285070838729 48.8643832942402)","2663","2663",,
"LINESTRING (2.34833261972425 48.8637544700274,2.3488728859486 48.8636306278241)","2720","2720",Rue des Pélerins Saint-Jacques,
"LINESTRING (2.34845565797754 48.8629031493788,2.34869197951464 48.8633134738579)","2733","2733",Rue Saint-Jacques l'Hôpital,
"LINESTRING (2.34869197951464 48.8633134738579,2.3488728859486 48.8636306278241)","2745","2745",Rue Saint-Jacques l'Hôpital,
"LINESTRING (2.36281824764858 48.8672105750736,2.36371342487801 48.8675583377056,2.36395682037715 48.8676548455989)","2746","2746",Rue du Temple,
"LINESTRING (2.34869197951464 48.8633134738579,2.34910465718104 48.8632382286338,2.34969786658706 48.8631107985942)","2755","2755",,
"LINESTRING (2.3488728859486 48.8636306278241,2.34898983355226 48.8638356508215)","2764","2764",Rue Saint-Jacques l'Hôpital,
"LINESTRING (2.36099248471089 48.8636896380588,2.36136466688416 48.8634366814443,2.36145471373945 48.8633777139797)","2794","2793",Rue de la Croderie,
"LINESTRING (2.34793236037012 48.8630227841745,2.34815942943377 48.8634217925358)","2810","2809",Rue Mondétour,
"LINESTRING (2.34780162361767 48.8627851936784,2.34857984659898 48.8628078095046,2.34873805211901 48.8628385880061)","2811","2810",,
"LINESTRING (2.34815942943377 48.8634217925358,2.34833261972425 48.8637544700274)","2836","2835",Rue Mondétour,
"LINESTRING (2.35678270860932 48.8658196860893,2.35670788782323 48.8656906155383)","2837","2836",,
"LINESTRING (2.35670788782323 48.8656906155383,2.35649724809763 48.8653272450272)","2838","2837",,
"LINESTRING (2.34770381102212 48.8625414679583,2.34929468264978 48.8621509777101)","2842","2841",Rue Rambuteau,
"LINESTRING (2.34833261972425 48.8637544700274,2.34843566276261 48.8639524009399)","2847","2846",Rue Mondétour,
"LINESTRING (2.35815274739092 48.8612529185021,2.35879282872227 48.8618107616897,2.35960725044973 48.8625239759051,2.35974816852559 48.8626325833674)","2979","2978",Rue du Grand Chantier,
"LINESTRING (2.35679352875458 48.8619143095588,2.35750481327629 48.8615901062025,2.35815274739092 48.8612529185021)","3089","3089",Rue des Vieilles Audriettes,
"LINESTRING (2.35330342751261 48.862317012578,2.35308258683705 48.8619480389945)","3164","3164",,
"LINESTRING (2.35330342751261 48.862317012578,2.35336294182135 48.8624263460956,2.35398853358707 48.8622896026202)","3166","3166",,
"LINESTRING (2.35206057241299 48.8626184754989,2.35330342751261 48.862317012578)","3167","3167",,
"LINESTRING (2.35745012205792 48.862496640392,2.35830585707567 48.8621316535689)","3172","3172",,
"LINESTRING (2.35456877607331 48.8674355942702,2.35336890124522 48.867724618932)","3181","3181",,
"LINESTRING (2.35403749528005 48.8665864129964,2.35379747075205 48.8666543314397,2.35386504668253 48.8668153447948,2.35329837724899 48.8669270331877)","3182","3182",,
"LINESTRING (2.35631699002741 48.8657896355136,2.35670788782323 48.8656906155383)","3183","3183",,
"LINESTRING (2.35585136728905 48.8655012258767,2.3561072207434 48.8658864868701)","3184","3184",,
"LINESTRING (2.35549322609402 48.8655954865669,2.35533960853129 48.8653339865799)","3186","3186",,
"LINESTRING (2.35570917746662 48.8655386495852,2.35553346105841 48.8652834805314)","3187","3187",,
"LINESTRING (2.35585136728905 48.8655012258767,2.35570162198229 48.8652396677993)","3188","3188",,
"LINESTRING (2.35546733907295 48.8651965964568,2.35531162270666 48.8648565872672)","3189","3189",Passage Aumaire,
"LINESTRING (2.35649724809763 48.8653272450272,2.35628357340196 48.864986655463,2.35546733907295 48.8651965964568)","3191","3191",,
"LINESTRING (2.35546733907295 48.8651965964568,2.35507091907873 48.8652985557293)","3192","3192",,
"LINESTRING (2.35532294378039 48.8656403033881,2.35514376833702 48.8653850100716,2.35533960853129 48.8653339865799)","3193","3193",,
"LINESTRING (2.35570162198229 48.8652396677993,2.35594206211019 48.8651770228656,2.356094686804 48.8654371847302)","3195","3195",,
"LINESTRING (2.356094686804 48.8654371847302,2.35631699002741 48.8657896355136)","3196","3196",,
"LINESTRING (2.35631699002741 48.8657896355136,2.35639796418123 48.8659180147205)","3197","3197",,
"LINESTRING (2.35532294378039 48.8656403033881,2.35556177378702 48.8660413310401,2.35581901374253 48.8659853413674,2.3558551968263 48.8660567262122)","3198","3198",,
"LINESTRING (2.35358915577821 48.8658561658726,2.35311917433551 48.8659506984065,2.35310919604722 48.8660539186007,2.35245571622938 48.8661536589053,2.3520732364753 48.8661401140177,2.35097727393797 48.8664329580029)","3199","3199",Passage Basfour,
"LINESTRING (2.35624347674986 48.8639575681494,2.35640888089657 48.8646496034061)","3200","3200",Passage Barrois,
"LINESTRING (2.35771756512027 48.864707486941,2.3573418794403 48.8648489065775)","3201","3201",Passage Frépillon,
"LINESTRING (2.3573418794403 48.8648489065775,2.356813746514 48.864979576286)","3202","3202",Passage Frépillon,
"LINESTRING (2.35792258568475 48.8650069346652,2.35786305885876 48.8648976036699)","3203","3203",Passage Philippaux,
"LINESTRING (2.35786305885876 48.8648976036699,2.35771756512027 48.864707486941)","3205","3205",Passage Philippaux,
"LINESTRING (2.35771756512027 48.864707486941,2.35757235543785 48.8644944216955,2.35721434548556 48.864612986007)","3206","3206",Passage Philippaux,
"LINESTRING (2.35702672186728 48.8643136303978,2.35721434548556 48.864612986007)","3207","3207",,
"LINESTRING (2.35721434548556 48.864612986007,2.3573418794403 48.8648489065775)","3208","3208",,
"LINESTRING (2.3573418794403 48.8648489065775,2.35747945477305 48.8649758692397,2.35786305885876 48.8648976036699)","3209","3209",,
"LINESTRING (2.35774555119096 48.8641036157526,2.35702672186728 48.8643136303978)","3210","3210",Passage de Rome,
"LINESTRING (2.36004984490849 48.8607895830704,2.35921883334609 48.8612349140357,2.35954824570355 48.8614955745148,2.35976787228279 48.8617055593602,2.36040111865256 48.8622667142999)","3211","3211",Rue Sourdis,
"LINESTRING (2.35702672186728 48.8643136303978,2.35675341936734 48.8639105396539)","3214","3214",Passage de Rome,
"LINESTRING (2.36057338166332 48.865108632608,2.36083194692223 48.8653618721824)","3215","3215",,
"LINESTRING (2.36083194692223 48.8653618721824,2.3612550678309 48.8656824350497)","3219","3219",,
"LINESTRING (2.36285070838729 48.8643832942402,2.36185751805005 48.8648727991458)","3220","3220",,
"LINESTRING (2.36185751805005 48.8648727991458,2.36083194692223 48.8653618721824)","3221","3221",,
"LINESTRING (2.36083194692223 48.8653618721824,2.36043463136545 48.8655513386251)","3222","3222",,
"LINESTRING (2.36158251142065 48.8646228613176,2.36185751805005 48.8648727991458)","3223","3223",,
"LINESTRING (2.36185751805005 48.8648727991458,2.36221525945386 48.8651979252689)","3224","3224",,
"LINESTRING (2.35011838035375 48.8623852381518,2.34995227241928 48.8619923600155)","3230","3230",,
"LINESTRING (2.35081301680827 48.8617958903165,2.34995227241928 48.8619923600155)","3232","3232",Rue Rambuteau,
"LINESTRING (2.34995227241928 48.8619923600155,2.34970970175491 48.8620477267281,2.34929468264978 48.8621509777101)","3233","3233",Rue Rambuteau,
"LINESTRING (2.36273241603818 48.8638232460425,2.36285070838729 48.8643832942402)","3240","3240",,
"LINESTRING (2.35238755042328 48.8632465919547,2.35313622167416 48.8630105081525,2.35360783121182 48.8628898572875,2.35421698133388 48.8627082437016)","3294","3294",Rue Grenier Saint-Lazarre,
"LINESTRING (2.35182121372956 48.8683388933519,2.35120909326463 48.8684906542594,2.35097585322927 48.8687287283314)","3309","3309",Passage Sainte-Foy,
"LINESTRING (2.36215714275939 48.8683968880844,2.36214564588162 48.8686555794584)","3310","3310",,
"LINESTRING (2.36234101055972 48.8640418102079,2.36285070838729 48.8643832942402)","3351","3351",,
"LINESTRING (2.35018338254333 48.8683130186376,2.35041818528665 48.8685708636075)","3427","3427",Rue Saint-Spire,
"LINESTRING (2.35259599790537 48.8636822230358,2.35291827546783 48.8636173489961,2.3532464436901 48.8635395071802,2.35408747606983 48.8632904381037,2.3544333209388 48.8631944378091)","3438","3438",Rue Montmorency,
"LINESTRING (2.34793236037012 48.8630227841745,2.34845565797754 48.8629031493788)","3445","3445",Rue de la Grande Truanderie,
"LINESTRING (2.36226795619167 48.8642928942129,2.36285070838729 48.8643832942402)","3473","3473",,
"LINESTRING (2.35727074646916 48.8623472925172,2.35745012205792 48.862496640392)","3481","3481",Rue du Temple,
"LINESTRING (2.35745012205792 48.862496640392,2.35757474526587 48.8626004008336,2.35778064607091 48.862807374306)","3482","3482",Rue du Temple,
"LINESTRING (2.36281824764858 48.8672105750736,2.36295689528617 48.8671767032741,2.36342753430393 48.8664656101911)","3489","3489",Rue Vendôme,
"LINESTRING (2.35747399689971 48.8659558686287,2.35927072202379 48.8656381766267)","3594","3593",Rue des Fontaines,
"LINESTRING (2.3544333209388 48.8631944378091,2.35656337077139 48.8625756168155,2.35727074646916 48.8623472925172)","3605","3604",Rue Montmorency,
"LINESTRING (2.34845565797754 48.8629031493788,2.34873805211901 48.8628385880061)","3638","3637",Rue de la Grande Truanderie,
"LINESTRING (2.35053005407323 48.8624827311383,2.3506432644308 48.8626617177042)","3704","3702",Passage Beaufort,
"LINESTRING (2.35025412658977 48.8625476616211,2.35053005407323 48.8624827311383)","3716","3715",Passage Beaufort,
"LINESTRING (2.35927072202379 48.8656381766267,2.3603434355154 48.8654588528403)","3722","3721",Rue des Fontaines,
"LINESTRING (2.35821717138004 48.8633814883139,2.35861437947938 48.8632217699729,2.35974816852559 48.8626325833674)","3734","3733",Rue Pastourelle,
"LINESTRING (2.35053005407323 48.8624827311383,2.351075520945 48.8623543709408)","3743","3742",Passage Beaufort,
"LINESTRING (2.35115945491028 48.8642094117376,2.35183750873251 48.8639896177762,2.35262875458344 48.8637524727481)","3756","3755",Rue Neuve Bourg-l'Abbé,
"LINESTRING (2.34873805211901 48.8628385880061,2.34952206238786 48.8626737970235)","3768","3767",Rue de la Grande Truanderie,
"LINESTRING (2.35081301680827 48.8617958903165,2.351075520945 48.8623543709408)","3774","3774",Rue Quincampoix,
"LINESTRING (2.351075520945 48.8623543709408,2.35109844658202 48.8623991904845)","3790","3790",Rue Quincampoix,
"LINESTRING (2.35109844658202 48.8623991904845,2.35125740043064 48.8627099423788,2.35128100218579 48.8627786594879,2.35150906545729 48.8631283901154)","3804","3804",Rue Quincampoix,
"LINESTRING (2.35974816852559 48.8626325833674,2.36040111865256 48.8622667142999)","3828","3828",Rue d'Anjou,
"LINESTRING (2.36040111865256 48.8622667142999,2.36092625617768 48.8619623525892,2.36124244510825 48.8618042374373)","3839","3839",Rue d'Anjou,
"LINESTRING (2.35126782004547 48.8669573421571,2.35022880598735 48.8671703820807)","3842","3842",Passage Sainte-Catherine,
"LINESTRING (2.36159053755448 48.863288768931,2.36191547424531 48.8631274196766)","3858","3858",Rue de Bretagne,
"LINESTRING (2.36191547424531 48.8631274196766,2.36246115718948 48.8628564532656)","3887","3887",Rue de Bretagne,
"LINESTRING (2.36246115718948 48.8628564532656,2.36297876527244 48.8625974238722,2.36324580224652 48.8624724328855)","3911","3911",Rue de Bretagne,
"LINESTRING (2.36141031967884 48.8631195031667,2.36181537987686 48.8629139293871)","3947","3947",Rue des Oiseaux,
"LINESTRING (2.36040111865256 48.8622667142999,2.36110185457371 48.8628555385256,2.36141031967884 48.8631195031667)","3959","3959",Rue de Beauce,
"LINESTRING (2.35714204190445 48.8653980771912,2.35747399689971 48.8659558686287)","3961","3961",Rue de la Croix,
"LINESTRING (2.36141031967884 48.8631195031667,2.36159053755448 48.863288768931)","3971","3971",Rue de Beauce,
"LINESTRING (2.34775177536411 48.8640328554899,2.34827452036426 48.8639861283527,2.34843566276261 48.8639524009399)","3972","3972",Rue Mauconseil,
"LINESTRING (2.36124244510825 48.8618042374373,2.36199444907409 48.8624727111797,2.36246115718948 48.8628564532656)","3984","3984",Rue de Berry,
"LINESTRING (2.36226591895843 48.8616582627362,2.36324580224652 48.8624724328855)","3997","3997",Rue de la Marche,
"LINESTRING (2.34982321015556 48.8683820906426,2.35041818528665 48.8685708636075)","4011","4011",Rue Sainte-Foy,
"LINESTRING (2.35109844658202 48.8623991904845,2.35183698918404 48.8622223465758)","4040","4040",Passage Molière,
"LINESTRING (2.35747399689971 48.8659558686287,2.35755866798941 48.8660981412058)","4068","4068",Rue de la Croix,
"LINESTRING (2.35755866798941 48.8660981412058,2.35783319828454 48.8665594276045,2.35812288188543 48.8670009839886)","4116","4116",Rue de la Croix,
"LINESTRING (2.35369789838188 48.8660399357354,2.35497504524978 48.8657318661808,2.35505785264243 48.8657090830795,2.35516586804757 48.8656793642838,2.35532294378039 48.8656403033881)","4128","4128",Rue Royale,
"LINESTRING (2.35532294378039 48.8656403033881,2.35549322609402 48.8655954865669)","4152","4152",Rue Royale,
"LINESTRING (2.35549322609402 48.8655954865669,2.35570917746662 48.8655386495852)","4163","4163",Rue Royale,
"LINESTRING (2.34965557286442 48.868592087993,2.34982321015556 48.8683820906426)","4166","4166",Rue des Filles Dieu,
"LINESTRING (2.35570917746662 48.8655386495852,2.35585136728905 48.8655012258767)","4168","4168",Rue Royale,
"LINESTRING (2.35585136728905 48.8655012258767,2.35603674344507 48.8654524353563,2.356094686804 48.8654371847302)","4179","4179",Rue Royale,
"LINESTRING (2.35806679185808 48.869114146291,2.35866297383383 48.8689454578693,2.35975559268975 48.8685796051617)","4190","4190",Rue de Bondy,
"LINESTRING (2.356094686804 48.8654371847302,2.35638172029211 48.8653616372948)","4191","4191",Rue Royale,
"LINESTRING (2.35975559268975 48.8685796051617,2.36096226237005 48.8683667176436,2.36215714275939 48.8683968880844)","4206","4206",Rue de Bondy,
"LINESTRING (2.36215714275939 48.8683968880844,2.36265491388468 48.8684094531546)","4207","4207",Rue de Bondy,
"LINESTRING (2.35701781583119 48.865428504728,2.35714204190445 48.8653980771912)","4217","4217",Rue Phélipeaux,
"LINESTRING (2.36265491388468 48.8684094531546,2.36395734451971 48.8679692949584,2.3643542819815 48.8678343545199)","4219","4219",Rue de Bondy,
"LINESTRING (2.35714204190445 48.8653980771912,2.35778691214382 48.8652401220823,2.35832474754978 48.8651060405889)","4226","4226",Rue Phélipeaux,
"LINESTRING (2.35832474754978 48.8651060405889,2.35907844003222 48.8649091484672,2.35947721242379 48.8647521539816,2.35956614789781 48.8646936697689)","4239","4238",Rue Phélipeaux,
"LINESTRING (2.3574380850575 48.8636088926258,2.35761986349612 48.8638797982504,2.35774555119096 48.8641036157526)","4250","4249",Rue des Vertus,
"LINESTRING (2.35774555119096 48.8641036157526,2.35790181776501 48.8643818834557,2.35809954937384 48.8647198235781,2.35832474754978 48.8651060405889)","4261","4260",Rue des Vertus,
"LINESTRING (2.35834767212939 48.8674537367846,2.35841955684806 48.8675551427563,2.3584754473819 48.8677567109815)","4267","4266",Impasse du Pont aux Biches,
"LINESTRING (2.35812288188543 48.8670009839886,2.35834767212939 48.8674537367846)","4279","4278",Rue du Pont aux Biches,
"LINESTRING (2.34982321015556 48.8683820906426,2.34997482983993 48.8681918244045,2.35005583502479 48.8681729529967)","4289","4288",Rue des Filles Dieu,
"LINESTRING (2.36145471373945 48.8633777139797,2.36159053755448 48.863288768931)","4312","4312",Rue de la Croderie,
"LINESTRING (2.3558551968263 48.8660567262122,2.35633984221375 48.8659328687353,2.35639796418123 48.8659180147205)","4341","4341",Rue Conté,
"LINESTRING (2.35130227437351 48.8647163607509,2.35145252196876 48.864692101633,2.35225439090438 48.8648177694975,2.35276342677831 48.864911056855,2.35318199572076 48.864799491181)","4354","4354",Rue du Grand Hurleur,
"LINESTRING (2.35155383627165 48.8616402072727,2.35176029923626 48.8620576876578)","4360","4360",Rue Saint-Martin,
"LINESTRING (2.35639796418123 48.8659180147205,2.35678270860932 48.8658196860893)","4366","4366",Rue Conté,
"LINESTRING (2.35664173911213 48.8673287627321,2.35647946161666 48.8670186475065)","4378","4378",Rue Vaucanson,
"LINESTRING (2.35647946161666 48.8670186475065,2.35593757589223 48.866182246724,2.3558551968263 48.8660567262122)","4389","4389",Rue Vaucanson,
"LINESTRING (2.35647946161666 48.8670186475065,2.35734673491504 48.8667463996814)","4401","4401",Rue Ferdinand Berthoud,
"LINESTRING (2.35678270860932 48.8658196860893,2.35704836647054 48.8662460287294)","4415","4415",Rue Montgolfier,
"LINESTRING (2.35704836647054 48.8662460287294,2.35734673491504 48.8667463996814)","4427","4427",Rue Montgolfier,
"LINESTRING (2.35176029923626 48.8620576876578,2.35183698918404 48.8622223465758)","4431","4431",Rue Saint-Martin,
"LINESTRING (2.36057773773286 48.8633333452413,2.36099248471089 48.8636896380588)","4435","4435",Rue Molay,
"LINESTRING (2.35734673491504 48.8667463996814,2.35757205298209 48.8671242562299)","4436","4436",Rue Montgolfier,
"LINESTRING (2.35704836647054 48.8662460287294,2.35755866798941 48.8660981412058)","4443","4443",Rue Borda,
"LINESTRING (2.3536421697364 48.861776381484,2.353702312795 48.8618661748338,2.35380779269269 48.8620094275296,2.35386746134669 48.8620904633727,2.35398853358707 48.8622896026202)","4457","4457",Rue Beaubourg,
"LINESTRING (2.35398853358707 48.8622896026202,2.35404639132808 48.8623847662606,2.35421698133388 48.8627082437016)","4469","4469",Rue Beaubourg,
"LINESTRING (2.35089204049594 48.8633138800117,2.3511241504293 48.8640801449703)","4476","4476",Rue Bourg l'Abbé,
"LINESTRING (2.35897645281995 48.8641502742096,2.35951979667759 48.8638377996259,2.36057773773286 48.8633333452413)","4551","4551",Rue Porte Foin,
"LINESTRING (2.35005583502479 48.8681729529967,2.3502653309073 48.8681241473651,2.35161742857904 48.8677970378224)","4556","4556",Rue des Filles Dieu,
"LINESTRING (2.35596986966673 48.8612350272528,2.35673652226155 48.861871531382)","4616","4616",Rue Sainte-Avoie,
"LINESTRING (2.35030192211015 48.8651153840763,2.35045232421074 48.8651641857519,2.35142712533783 48.8652237124559)","4617","4617",Rue Grenéta,
"LINESTRING (2.35183698918404 48.8622223465758,2.35196675720824 48.862446642386,2.352034399832 48.8625705375975,2.35206057241299 48.8626184754989)","4618","4618",Rue Saint-Martin,
"LINESTRING (2.35673652226155 48.861871531382,2.35679352875458 48.8619143095588)","4630","4630",Rue Sainte-Avoie,
"LINESTRING (2.34815942943377 48.8634217925358,2.34869197951464 48.8633134738579)","4820","4820",,
