WKT,fid,gid,streetname,note
"LINESTRING (652439.954588228 6863053.0816538,652452.214078118 6863083.97832399)","890","890",R DE PALESTRO,
"LINESTRING (652417.452267532 6862993.27136718,652459.490856315 6862997.9180813)","891","891",R GRENETA,
"LINESTRING (652612.915592135 6863405.62505946,652712.647258608 6863373.78711081)","892","892",R SAINTE-APOLLINE,
"LINESTRING (652241.206485751 6862844.75385087,652315.401986868 6862868.1302278)","893","893",R DE TURBIGO,
"LINESTRING (652496.269302973 6863209.60692431,652534.157040818 6863196.28866576)","895","895",R DU CAIRE,
"LINESTRING (652465.515504243 6863119.86619653,652499.395136886 6863105.58164742)","896","896",R REAUMUR,
"LINESTRING (652499.395136886 6863105.58164742,652534.157040818 6863196.28866576)","897","897",BD DE SEBASTOPOL,
"LINESTRING (652557.67618289 6863258.0904705,652654.365961712 6863221.27821434)","898","898",R SALOMON DE CAUS,
"LINESTRING (652459.490856315 6862997.9180813,652499.395136886 6863105.58164742)","902","902",BD DE SEBASTOPOL,
"LINESTRING (652568.196312285 6863082.00371879,652551.693435291 6863022.14302448)","904","904",R SAINT-MARTIN,
"LINESTRING (652534.157040818 6863196.28866576,652626.855500794 6863160.50998059)","905","905",R PAPIN,
"LINESTRING (652173.002116714 6862820.32711815,652191.067823208 6862828.17525964)","906","906",R DE TURBIGO,
"LINESTRING (652424.720662715 6862906.21127357,652459.490856315 6862997.9180813)","907","907",BD DE SEBASTOPOL,
"LINESTRING (652568.196312285 6863082.00371879,652591.144036738 6863075.81093351)","908","908",R REAUMUR,
"LINESTRING (652809.125886336 6862835.98151151,652830.502378437 6862880.80128902,652832.577859848 6862889.78373739,652872.482106954 6862878.44843168)","915","915",COUR DE ROME,
"LINESTRING (652465.515504243 6863119.86619653,652471.683064664 6863139.81417679)","935","935",R DE PALESTRO,
"LINESTRING (652404.85647298 6863160.37549839,652471.683064664 6863139.81417679)","936","936",R GUERIN BOISSEAU,
"LINESTRING (652325.896817166 6862927.04136473,652371.834235412 6862919.6554872,652387.774112111 6862912.52163988)","939","939",PAS DU BOURG L'ABBE,
"LINESTRING (652417.141169605 6863194.27196011,652444.071799709 6863186.04575016,652458.171505988 6863197.92716446,652461.22167904 6863203.90147975)","940","940",COUR DU ROI FRANCOIS,
"LINESTRING (652338.383093381 6862984.93580904,652417.452267532 6862993.27136718)","941","941",R GRENETA,
"LINESTRING (652369.12836258 6863073.67654868,652405.016233161 6863060.37514796,652415.023825775 6863061.29105068,652439.954588228 6863053.0816538)","942","942",PAS DE LA TRINITE,
"LINESTRING (652331.29904583 6863331.99201978,652441.912228899 6863286.06300877)","961","961",R DES FILLES DIEU,
"LINESTRING (652472.766877179 6863387.80292707,652475.884273116 6863401.77662637)","962","962",R SAINT-DENIS,
"LINESTRING (652195.9830766 6862937.13267902,652205.225937493 6862966.05470694)","963","963",R DUSSOUBS,
"LINESTRING (652459.364595522 6863339.91591819,652472.766877179 6863387.80292707)","964","964",R SAINT-DENIS,
"LINESTRING (652441.912228899 6863286.06300877,652454.238958449 6863324.95910841)","965","965",R SAINT-DENIS,
"LINESTRING (652454.238958449 6863324.95910841,652459.364595522 6863339.91591819)","967","967",R SAINT-DENIS,
"LINESTRING (652205.225937493 6862966.05470694,652218.602877772 6863010.94183858)","972","972",R DUSSOUBS,
